,,,,,,,,,,,
,8,"""Com tiros de revólver, bicheiro matou doméstica e feriu amante""*             ",28/01/1969,Primeiro caderno ,"Não há informações sobre a raça, a naturalidade nem a idade das vítimas","Recife, PE ",Residência  ,tiros; revólver; matar; morte; assassinar; ferir; amante; crime; mãe; filha; delegado; romance; namoro; rompimento; recusa; velho; idoso; homicida. ,objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino),violência doméstica e intrafamiliar; violência física; violência letal; violência simbólica; ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=67075
,9,"""Criminoso capturado""",28/01/1969,Primeiro caderno ,"Não há informações sobre a raça, a naturalidade nem a idade das vítimas, mas há menção ao fato de a vítima exercer a prostituição ao caracterizá-la como ""mundana"" ","Recife, PE",Rua,criminoso; crime; mundana; ameaça; morte; delegado; absolvição; condenação ,objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino); moralização dos relatos,violência psicológica; preconceito e/ou violência relacionada à atividade de prostituição,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=67075  
,10,"""Empregados prendem anciã para roubar sua fortuna"" ",29/01/1969,Primeiro caderno ,"Nesse caso há duas vítimas. Primeira vítima: idosa de 82 anos, sem raça e naturalidade definidas. O nome da idosa é citado.          Segunda vítima: mulher sem idade, raça ou naturalidade definidas. Nome citado na matéria. ","São Paulo, SP",Residência        ,"anciã; idosa; encarcerada; roubar; fortuna; riqueza; polícia; crime; mulher; esfaqueada, tentativa de homicídio; filho; sogra; sogros; nora; casa; prisão",objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino),violência patrimonial; violência física; violência psicológica; violência doméstica e intrafamiliar; ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=67093 
,11,"
""Escriturário com ciúme suicidou-se""",01/02/1969,Primeiro caderno ,"Idade da vítima: 16 anos.   Não há, contudo, informações sobre a raça e a naturalidade da mulher. O nome da vítima é citado ","Recife, PE",Residência,Ciúme; suicídio; delegado; espôsa; tiros; revólver; morte; núpcias; bebida,"
Objetificação da mulher (sentimento de posse e/ou controle sobre o corpo feminino) ","
 Violência física; violência doméstica e intrafamiliar; ",http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=67167 
,12,"""Mulher denuncia lenocínio no Edifício Califórnia""",01/02/1969,Primeiro caderno ,"Não há informações sobre a idade, a raça ou a naturalidade da vítima das agressões. O nome da vítima é citado na matéria ","Recife, PE",Residência  ,"Mulher, lenocínio; acusada; acusação; delegado; atos libidinosos; casais; trottoir; encontros amorosos; agredida; homossexuais; policial","
Objetificação da mulher (sentimento de posse e/ou controle sobre o corpo feminino); moralização dos relatos",violência física; violência psicológica; violência simbólica; preconceito e/ou violência em função da atividade de prostituição; ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=67168 
,13,"""Tarado foi preso ao tentar seduzir enteada de 12 anos"" ",07/02/1969,Primeiro caderno ,"Nesse caso há duas vítimas. Primeira vítima: Neusa Maria de Lima, que foi vítima de uma tentativa de assassinato. Não há informações demográficas sobre ela. Segunda vítima:  V.L.L, menor com menos de 12 anos, filha de Neusa Maria de Lima e enteada do perpetrador da violência ","Recife, PE",Não fica claro,tarado; seduzir; enteada; armado de faca; tentar contra a enteada; quis matar sua amante; conseguiu fugir; em busca de socorro; prêso; delegacia; delegado; acusado; sofrer das faculdades mentais; tinha o diabo no corpo, objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino),violência sexual (contra menor); violência doméstica e intrafamiliar (contra menor); violência física; ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=67335 
,14,"""Policiamento preventivo para o carnaval foi iniciado ontem""                 ",09/02/1969,Primeiro caderno ,"Não há informações sobre as idades, as raças ou a naturalidade das prostitutas que foram presas. Os nomes das vítimas são citados na matéria ","Recife, PE ",Rua,policiamento; polícia; delegado; mundana; carnaval; presos;  elementos suspeitos; mulher; maconha; alcoolismo; lenocínio ,moralização dos relatos,violência psicológica; violência institucional; violência simbólica; preconceito e/ou violência em função da prostituição,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=67387
,15,"""Ofensa matou doméstica""",11/02/1969,Diario Policial ,Idade da vítima: 42 anos. O seu nome aparece na matéria. Não há informações sobre sua raça ou sobre sua naturalidade,"Olinda, PE",Não fica claro,ofensa; doméstica; mulher; agredida moralmente; matou; viúva; falecer. ,hibridismo entre o discurso jornalístico e o policial/jurídico ,violência moral; violência simbólica.,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=67457
,16,"""Agressões""                               ",11/02/1989,Diario Policial ,"O nome da vítima aparece na matéria, mas não há informações sobre sua raça, idade ou naturalidade"," Recife, PE",Rua,alvejado; ferimento; atingida; projétil; rua; agressão,-,Violência física; violência urbana. ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=67457 
,17,Amor demais com ciúme e peixeira,12/02/1969,Capa,"O nome da vítima aparece na matéria, mas não há informações sobre sua raça, idade ou naturalidade","Jaboatão dos Guararapes, PE",Residência ,amor demais; ciúme; peixeira; sexagenário; espôsa; mulher; veneno; violento;  golpe; tiro; desespero; arma; matar; criminoso; suicida; “ela é só minha” ,objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino); moralização dos relatos,violência doméstica e intrafamiliar; violência física; violência letal; violência simbólica; ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=67474
,18,"""Sexagenário movido pelo ciúme matou a espôsa e se suicidou ao ser preso""                      ",12/02/1969,Primeiro caderno ,"O nome da vítima aparece na matéria, mas não há informações sobre sua raça, idade ou naturalidade","Jaboatão dos Guararapes, PE",Residência ,sexagenário; ciúme; espôsa; suicídio; prêso; prisão; estriquinina; violentos golpes; faca peixeira; tiro; matou; morte; esbofetear; polícia; embriagar-se; aguardente; delegado; “ela é só minha”; filhos; crime; inquérito; homicídio; assassinato ,objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino); moralização dos relatos,violência doméstica e intrafamiliar; violência física; violência letal; violência simbólica; ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=67481
,19,"""Ferroviário eliminou espôsa com certeiro tiro de revólver""                    ",12/02/1969,Primeiro caderno ,"O nome da vítima aparece na matéria, mas não há informações sobre sua raça, idade ou naturalidade","Recife, PE",Residência ,Ferroviário; eliminou; espôsa; tiro; revólver; assassinar; delegacia de homicídios; flagrante; delegado; Justiça; crime; criminoso; residência; feriu; cinzeiro; amedrontar; sofredor; casamento; filha; casal; espôsa fazia de sua vida um inferno;  brigas constantes; escândalos; violência; bater; agredido; arma; mãe; aconselhar;  palavrões; tapas; doméstica,objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino); moralização dos relatos,violência doméstica e intrafamiliar; violência física; violência letal; violência moral; violência simbólica; ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=67481
,20,"""Matou empregada com um tiro no rosto""",15/02/1969,Primeiro caderno ,O nome da vítima aparece na matéria. Idade da vítima: 22 anos. Não há informações sobre sua raça ou naturalidade,"Recife, PE", Trabalho ,"Matou; empregada; tiro; rôsto; comerciante; fuga; caça; crime; 
Delegado; homicida; recusa amorosa; patrão; comerciária; moça séria; acusado; ameaça",objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino),violência física; violência letal; violência no contexto de relações profissionais; violência psicológica;  violência simbólica,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=67545
,21,"""Enfermeira baleou cobrador""              ",15/02/1969,Primeiro caderno ,Idade da vítima: 25 anos            Não há informações sobre sua raça ou naturalidade,"Recife, PE",Transporte público,Baleou; cobrador; levar uma bofetada; tiro de revólver; feriu no tórax; acusada; delegacia; delegado; estado desesperador; ofendida; ofensas; rôsto; fiança ,objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino),violência física; violência moral, http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=67545
,22,"""Supeitos (sic) da morte da milionária""",05/03/1969,Primeiro caderno ,"O nome da vítima aparece na matéria. O texto fala também que ela pertence a uma classe social abastada. Não há informações sobre a sua raça, idade ou naturalidade ","São Paulo, SP",Residência,morte; morta; milionária; supeitos; filhos; médico; advogado; manietada; esfaqueada; latrocínio; herança; homicídio; bárbaro; vítima; fortuna; mulher; autoridades; tragédia.,objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino); hibridismo entre o discurso jornalístico e o policial/jurífico,Violência doméstica e intrafamiliar; violência física; violência letal; violência patrimonial,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=68029
,23,"""Jogatina""",09/03/1969,Diario Policial ,"Há duas vítimas na matéria: a primeira é a esposa do comissário, que supostamente é alvo de xingamentos e ameças de morte. Sobre ela, não se fala nada a não ser o fato de ser casada com o policial.                     A segunda vítima se chama Iraci Pereira, a responsável pelas denúncias contra o comissário e, por isso, ameaçada de morte duas vezes. Não há informações sobre sua idade, raça, classe social ou naturalidade. ","Maraial, PE",Residência,"jogatina; jôgo de azar; espôsa; delegado; residência; comissário; sargento; policial; ofendendo; palavras de baixo calão, ameaças de morte; gritos.", hibridismo entre o discurso jornalístico e o policial/jurídico,violência doméstica e intrafamiliar; violência psicológica,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=68131
,24,"""Miquilina em maus lençóis""",14/03/1969,Primeiro caderno ,"Vítima menor de idade. Não há informações sobre sua idade, raça, classe social ou naturalidade. ","Recife, PE",Prostíbulo ,Mulher; delegacia; acusada; menor; lenocínio; casa; polícia,objetificação da mulher (Sentimentos de posse e controle sobre o corpo feminino); moralização dos relatos ,Violência no contexto de relações profissionais (contra menor); preconceito e/ou violência em função da atividade de prostituição,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=68268 
,25,"""Tarado recorre""",14/03/1969,Diario Policial ,"As vítimas são quatro menores de idade que são filhas do réu.       Não há mais informações sobre a raça, a classe social ou a naturalidade das vítimas  ","Sertânia, PE",Não fica claro,tarado; recorrer; habeas corpus; condenado; juiz; violentado; filhas; menores de 18 anos; réu; pena; penitenciária ,Hibridismo entre o discurso jornalístico e o policial/jurídico; objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino). ,Violência doméstica e intrafamiliar (contra menor); violência sexual (contra menor),http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=68268
,26,"""Decretada a prisão preventiva para bicheiro que assassinou doméstica e feriu a filha""",20/03/1969,Primeiro caderno ,"Há duas vítimas na matéria: uma foi assassinada a tiros e a sua filha foi gravemente ferida. Não há informações sobre a raça, a idade, a classe social ou a naturalidade das vítimas","Recife, PE",Não fica claro,prisão preventiva; bicheiro; assassinou; doméstica; ferir; filha; juiz; réu; Código de Processo Penal; revólver; crime; tentativa de suicídio; antecedentes; homicídio culposo; mulher; vítima,hibridismo entre o discurso jornalístico e o policial/jurídico; moralização dos relatos ,violência física; violência letal (contra menor),http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=68433
,27,"""Senhor de engenho comete atrocidades e é denunciado por vários agricultores""                    ",20/03/1969,Primeiro caderno ,"Há três vítimas na matéria. Seus nomes aparecem no texto e todas alegam ser vítimas de ameaças e coerções físicas para deixarem o engenho. Para além disso, não há informações sobre suas idades, raças ou suas cidades de origem. ","Vitória de Santo Antão, PE",Residência,senhor de engenho; atrocidades; agricultores; denunciado; autoridades; herança; mãe; filha; expulsar; arbitrariedades; coerção física; assustar; delegado; ameaçar; denúncia ,hibridismo entre o discurso jornalístico e o policial/jurídico,violência física; violência psicológica; violência patrimonial; violência no contexto de relações profissionais;,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=68434
,28,"""Cantor pernambucano vem sendo procurado na região"" ",20/03/1969,Primeiro caderno ,"Sabe-se que a vítima era menor de idade, mas ela não teve o nome, a raça, a classe social ou a naturalidade informadas no texto","Não fica claro, mas o crime parece ter ocorrido no Recife ",Não fica claro,cantor; pernambucano; procurado; juiz; captura; habeas corpus preventivo; Tribunal de Justiça; sedução; condenado; menoridade; pena mais branda; advogado; recurso; prisão., Hibridismo entre o discurso jornalístico e o policial/jurídico,violência sexual (contra menor); ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=68435
,29,"""Travesti apaixonado ameaça matar o menor""",22/03/1969,Primeiro caderno ,"A vítima era uma travesti, mas não há menções sobre sua idade, raça ou classe social. ","João Pessoa, PB",Violência simbólica,travesti; apaixonado; ameaça; morte; matar; menor; delegacia; jovem; homossexual; brincadeiras; agressivo; declaração de amor; policial; detenção ,moralização dos relatos,violência simbólica; violência contra pessoa LGBTQIA+,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=68481 
,30,"""Interrogadas testemunhas do réu que matou a espôsa"" ",23/03/1969,Primeiro caderno ,"O nome da vítima aparece na matéria, mas não há informações sobre sua raça, idade ou naturalidade","Recife, PE",Residência,Testemunhas; réu; matou; espôsa; juiz; interrogatório; acusado; assassínio; revólver; mulher; filha; separados; casal; brigas; discussão; residência; marido; tiro; pescoço. , hibridismo entre o discurso jornalístico e o policial/jurídico; objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino). ,violência física; violência letal; violência doméstica e intrafamiliar; violência simbólica;,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=68513
,31,"""Duas mulheres pediram garantias de vida à polícia"" ",23/03/1969,Primeiro caderno ,"Há duas vítimas nessa matéria: duas mulheres que foram ameaçadas de morte e uma delas que sofreu espancamento. A notícia cita os nomes das duas, mas não dá detalhes sobre idade, raça, classe social ou naturalidade delas. ","Recife, PE",Residência ,Mulheres; garantia de vida; polícia; delegacia; tentativa de assassinato; elemento; alta periculosidade; ferimentos; mãe; irmã; inquérito; Justiça; acusado; ameaça de morte; queixa; espancada; ação de desquite; esquizofrênica; psicotrópicos ,Hibridismo entre o discurso jornalístico e o policial/jurídico; objetificação da mulher (sentimentos de posse e controle sobre o corpo feminino),violência doméstica e intrafamiliar; violência física; violência psicológica,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=68513
,32,"""Delegacia de Homicídios mobiliza todo o efeitvo na caça do marinheiro assassino"" ",27/03/1969,Primeiro caderno ,"A vítima era mulher de 42 anos, natural de Natal (RN). A matéria também fala que ela era dona de uma ""pensão alegre"". Não há menção à raça e à classe social. ","Recife, PE",Rua,delegacia; delegado; cabo; homicídio; caça; marinheiro; assassino; feriu; crime; metralhadora; fuga; ameaça de morte; amante; “pensão alegre”; abandonar; romance; crime; criminoso; vítima; tiros; revólver; rival; enterro; honras militares, objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino),violência doméstica e intrafamiliar; violência psicológica,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=68629
,33,"""Polícia impediu que população matasse criminoso da chacina ocorrida em Pedra""",27/03/1969,Primeiro caderno ,"A vítima era uma agricultora da cidade de Pedra (PE). Fora essa, não há mais informações sobre a sua raça e a sua idade. ","Pedra, PE",Residência ,polícia; criminoso; chacina; bandido; população; linchar; mortes; agricultor; fuzil; revólveres; perseguição; assassino; trucidamento; família; fazendeiro; caçada; prêso; vítimas; feridos; massacre; menores ,Hibridismo entre o discurso jornalístico e o policial/jurídico; ,comoção social e reivindicações por justiça,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=68629
,34,"""Casal assalta no Piauí e vem para o Recife""",27/03/1969,Primeiro caderno ,"Idade: 22 anos           Raça/etnia: mulata    Naturalidade: Teresina, PI","Teresina, PI",Rua, casal; assalto; Recife; delegado; mão armada; prisão; troca de tiros; mulher; ferimento; mulata, objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino),violência física; violência institucional; violência contra pessoa negra ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=68629
,35,"""Marinheiro assassino teria fugido para o interior do Rio Grande do Norte"" ",28/03/1969,Primeiro caderno ,"
A vítima era mulher de 42 anos, natural de Natal (RN). ","Recife, PE",Rua,marinheiro; assassino; tinha fugido; autoridades policiais; morte; crime; cabo; delegado; metralhadora; pista; ameaça; ex-amante; crise nervosa,objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino),violência doméstica e intrafamiliar; violência psicológica,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=68653 
,36,"""Habeas corpus""",28/03/1969,Primeiro caderno ,"Sabe-se apenas que a vítima era menor de idade. Não há informações sobre sua raça, classe social ou naturalidade","Recife, PE",Não fica claro ,sedução; crime; cantor; habeas corpus; desembargador; advogado; mandado de prisão; foragido, hibridismo entre o discurso jornalístico e o policial/jurídico,violência sexual (contra menor),http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=68653 
,37,"""Reús julgados"" ",28/03/1969,Primeiro caderno ,"Há duas vítimas. A matéria cita os nomes das duas vítimas, mas não fornece mais informações sobre elas  ","Recife, PE",Residência  ,réus; julgados; juiz; Código Penal; solteiro; pensão; assassinou; tiros de revólver; denúncia; prisão preventiva; homicídio doloso; indeferimento; detido; viúvo; peixeiradas; amante; duplo assassinato; testemunhas. ,Hibridismo entre o discurso jornalístico e o policial/jurídico; objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino) ,violência física; violência letal; violência doméstica e intrafamiliar; ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=68653 
,38,"""Crime do KM 70""",28/03/1969,Diario Policial ,"A matéria cita o nome da vítima, mas não fornece mais nenhuma informação sobre ela ",Não é possível saber em que cidade/estado o crime ocorreu ,Não fica claro,crime; audiência; interrogatório; testemunhas; processo; juiz; acusados; assassínio.,Hibridismo entre o discurso jornalístico e o policial/jurídico; ,violência física; violência letal,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=68653 
,39,"""Marido defende-se""",09/04/1969,Diario Policial ,"A matéria cita o nome da vítima, mas não fornece mais nenhuma informação sobre ela ","Recife, PE",Residência ,"marido; defender-se; queixa; espôsa; Delegacia de Homicídios; mulher; genitora; irmã; irmão; ofender a honra profissional e dignidade, tentar contra a integridade física; intimar; julgador; processo criminal;  advogado; Justiça; inquérito; ameaçar; crime; custódia preventiva; elemento de alta periculosidade; Código Penal.", objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino); Hibridismo entre o discurso jornalístico e o policial/jurídico; moralização dos relatos ,violência doméstica e intrafamiliar; violência psicológica; violência simbólica,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=68987
,40,"""Suástica""",09/04/1969,Primeiro caderno - Síntese,"O nome da vítima e sua nacionalidade uruguaia aparecem na matéria. Não se fala, no entanto, sobre sua raça e sua idade, referindo-se a ela apenas como ""comunista""","Montevidéu, Uruguai",Não fica claro ,suástica; polícia; investigação; jovem; comunista; pernas; indivíduos não identificados; atacada; sangrava; Terceiro Reich. ,objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino); , violência física; violência simbólica; violência psicológica,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=68988
,41,"""Escriturário estrangulou espôsa infiel em Beberibe""                   ",17/04/1969,Primeiro caderno,"O nome da vítima aparece no texto, mas não há informações sobre sua idade, raça ou naturalidade","Recife, PE",Residência  ,estrangulou; espôsa infiel; mãos ainda manchadas de sangue; detenção; crise de desespero; gestante; deformou o rosto; pedaço de pau; polícia; matar; crime; discussão; briga; traição; grávida de outro homem; revoltado; espancá-la; ventre; castigo; leviandade; destruí-la; meretrício; homem inteiramente tranquilo; Justiça. ,objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino); ,violência doméstica e intrafamiliar; violência física; violência letal; violência simbólica,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=69253
,42,"""Solteironas procuram vigarista casamenteiro""",17/04/1969,Primeiro caderno,"Uma das vítimas tem seu nome e sua idade (38 anos) apresentados na matéria, mas não há mais informações demográficas sobre ela ","Recife, PE",Residência, solteironas; vigarista; casamenteiro; polícia; promessa de marido; casamento; queixa; cruzeiros novos; noivo; apaixonado; dinheiro; vítima; golpe; comissário de polícia; espertalhão,objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino); ,violência psicológica; violência moral; violência patrimonial; violência simbólica,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=69253
,43,"""Absolvido""",19/04/1969,Diario Policial ,A única informação sobre a vítima diz respeito ao fato de ela ter uma deficiência mental ,"Recife, PE",Residência ,"absolvido; juiz; disparos; débil mental; Hospital de Alienados; gravemente ferida; faleceu; denúncia; delito; réu; homicídio doloso; homicídio culposo 
",Hibridismo entre o discurso jornalístico e o policial/jurídico,violência física; violência letal; violência psicológica; violência simbólica; violência urbana,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=69297
,44,"""O poder da virgindade segundo o poeta popular""                      ",20/04/1969,Terceiro caderno ,O texto não tem uma vítima específica ,O texto não especifica ,Não fica claro,"virgindade; culto; código rígido de preceitos, donzela; crime em defesa da honra; punição; pai; herói; passividade; mulher perdida” honrada; sistema patriarcal; mulher; homem; sujeita; objeto comerciável; tabu; libertação; trabalho; classe média; televisão; inferno",objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino).   ,violência física; violência letal; violência doméstica e intrafamiliar; violência simbólica; violência moral; ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=69366
,45,"""Sapateiro irritado e com fome morde mulher, sogra e cunhada""",24/04/1969,Primeiro caderno ,"Os nomes das vítimas não aparecem nas matérias. O texto apenas afirmam que elas são esposa, cunhada e sogra do acusado","Recife, PE",Residência ,irritado; com fome; almoço; morde; mordidas; sogra; mulher; cunhada; espôsa; perdeu as estribeiras; comissário; ofensas; xadrez ,objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino).   ,violência doméstica e intrafamiliar; violência física,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=69436
,46,"""Num acesso de loucura, trabalhador rural matou filha, feriu espôsa e suicidou-se""",25/04/1969,Primeiro caderno ,"Duas vítimas no caso. Não é informada a idade da mãe, mas a matéria fala que a filha tinha 16 anos. Não há informações sobre suas raças, classes sociais ou naturalidade","Jaboatão dos Guararapes, PE",Residência  , loucura; homem; matou; filha; ferimento; espôsa; suicídio; atirar; polícia; tragédia; macumba; revólver; sobrevivente; namoro., objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino); ,violência doméstica e intrafamiliar (contra menor); violência física (contra menor); violência letal (contra menor); violência simbólica;,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=69460
